month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
10/1936,12.5,5.8,9.1,10.1,77.5,100.2
11/1936,8.3,2.8,5.6,8.4,83.2,116.4
12/1936,7.6,2.3,4.9,7.9,86.2,137.6
01/1937,7,2.2,4.6,7.7,86.1,158
02/1937,6.6,1.6,4.1,7,83.1,147.6
03/1937,5.6,-0.4,2.6,6.4,81,86.2
04/1937,11.2,4.9,8,9.1,81,71.5
05/1937,14.8,6.8,10.8,10.5,72.8,68
06/1937,16.6,8.8,12.7,12.2,75.7,64.3
07/1937,17.9,10.8,14.3,14.1,78.9,92
08/1937,19,11,15,14.3,72.5,73.2
09/1937,15.9,8.6,12.2,12.5,75.1,82.9
10/1937,12.6,6.4,9.4,10.9,79.5,97.4
11/1937,8.5,3.1,5.8,8.4,83.3,52.6
12/1937,5.2,0.5,2.8,7,88.9,110.3
01/1938,7.5,2.3,4.9,7.7,85.5,154.3
02/1938,7.2,1.8,4.5,7.4,80.7,61.8
03/1938,11.3,4.6,7.9,8.9,76.8,63.2
04/1938,11.1,3.1,7.1,8.5,70.5,16.6
05/1938,13.2,5.5,9.3,9.7,74.4,86.9
06/1938,16.1,8.7,12.4,12,77.6,102.1
07/1938,17.1,10,13.5,13.5,78.3,112.8
08/1938,18.4,10.6,14.5,14,74.1,89.6
09/1938,16.4,9.4,12.9,13,76.8,92.2
10/1938,12.7,6.7,9.7,10.8,80.4,185
11/1938,10.5,5.5,8,9.5,85.3,171.2
12/1938,6.2,1.4,3.8,7.7,87.8,128.8
01/1939,5.8,0.9,3.3,6.9,86.9,156.3
02/1939,7.8,2.5,5.1,7.8,81.1,100.2
03/1939,8.3,2.4,5.3,7.8,81.5,86
04/1939,11.1,3.8,7.4,8.5,74.6,64.6
05/1939,14.2,6.5,10.3,10.5,74.2,34.8
06/1939,17.5,8.9,13.2,12.3,70.8,63.5
07/1939,17.3,10.6,13.9,13.8,80.5,135.6
08/1939,18.8,11.3,15,14.8,75.6,69
09/1939,16.5,9.7,13.1,13.3,77.6,56.6
10/1939,11.2,4.9,8,9.7,79.6,115.4
11/1939,10.1,4.9,7.5,9.1,84.6,181.3
12/1939,5.8,1.3,3.5,7.5,89.8,85.3
01/1940,3,-2.7,0.1,5.9,83.1,83
02/1940,5.3,0.3,2.8,6.6,82.9,77.6
03/1940,8.3,1.6,5,7.2,76.7,108.3
04/1940,10.9,3.9,7.3,8.4,76.7,78.4
05/1940,15.3,6.9,11.1,10.8,69,46.8
06/1940,19.2,10.1,14.6,13.2,67.3,31.7
07/1940,17.2,10,13.5,13.5,78.2,124.9
08/1940,18.2,10.2,14.2,13.5,72.8,45.8
09/1940,15.4,7.7,11.5,11.6,73.5,81.6
10/1940,12.1,6.1,9.1,10.5,80,141
11/1940,9.1,3.6,6.3,8.5,83.1,203.7
12/1940,6.3,1.2,3.7,7.5,86.7,121.8
01/1941,2.7,-1.9,0.4,6,88,83.4
02/1941,5.3,-0.4,2.5,6.3,80.3,112.5
03/1941,7.3,1,4.1,6.9,78.7,89.8
04/1941,9.1,2.2,5.6,7.7,77.4,51.8
05/1941,12.5,4.5,8.5,9.2,72.1,62.7
06/1941,17.3,9.1,13.1,12.2,73.1,32
07/1941,18.9,10.8,14.9,14.2,73.7,89.9
08/1941,17.1,10,13.5,13.5,78,135
09/1941,17.4,10.1,13.7,13.4,75.1,40.1
10/1941,13.1,6.4,9.7,10.3,77.3,123.3
11/1941,8.9,3.3,6.1,8.6,82.1,120.7
12/1941,8,3.1,5.5,8.2,87.9,79.7
01/1942,4.3,-0.8,1.7,6.5,85.4,147.4
02/1942,3.7,-2,0.8,5.9,80.4,56.6
